date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-02-05,7.0,7.03,6.9,7.0,3804400.0,26474930.0,346448044.0,0.010981155950760687
2025-02-06,7.02,7.12,6.94,7.0,5513900.0,38602576.0,346448044.0,0.015915517768084152
2025-02-07,7.01,7.1,6.86,6.95,8341872.0,58293735.0,346448044.0,0.024078277087920288
2025-02-10,7.0,7.02,6.86,6.91,6722900.0,46460423.0,346448044.0,0.01940521852102014
2025-02-11,6.9,6.9,6.69,6.73,6652300.0,44914830.0,346448044.0,0.019201436161088558
2025-02-12,6.73,6.76,6.59,6.72,5719180.0,38186853.0,346448044.0,0.01650804528716
2025-02-13,6.7,6.79,6.68,6.71,4071400.0,27374224.0,346448044.0,0.011751834280813547
2025-02-14,6.71,6.71,6.6,6.67,4537200.0,30120355.0,346448044.0,0.013096336026651084
2025-02-17,6.69,6.69,6.55,6.66,4084700.0,27039631.0,346448044.0,0.011790223875531535
2025-02-18,6.64,6.69,6.52,6.55,4533200.0,29936632.0,346448044.0,0.013084790283878756
2025-02-19,6.57,6.59,6.48,6.57,3426000.0,22407098.0,346448044.0,0.009888928684498505
2025-02-20,6.58,6.66,6.55,6.59,3878300.0,25642858.0,346448044.0,0.011194463548479437
2025-02-21,6.64,6.64,6.46,6.49,4195102.0,27251838.0,346448044.0,0.012108892148919161
2025-02-24,6.48,6.75,6.44,6.61,7418050.0,49316403.0,346448044.0,0.021411724293066006
2025-02-25,6.61,6.61,6.43,6.45,5184016.0,33590600.0,346448044.0,0.01496332881590753
2025-02-26,6.45,6.56,6.44,6.52,3812101.0,24856288.0,346448044.0,0.011003384392033109
2025-02-27,6.51,6.56,6.42,6.49,3884550.0,25196114.0,346448044.0,0.011212503771561199
2025-02-28,6.48,6.48,6.24,6.24,5837866.0,37094171.0,346448044.0,0.016850624793829115
2025-03-03,6.28,6.48,6.28,6.33,5786100.0,36825115.0,346448044.0,0.016701205563741037
2025-03-04,6.35,6.47,6.32,6.46,4036150.0,25860966.0,346448044.0,0.01165008742263241
2025-03-05,6.46,6.46,6.3,6.41,4201850.0,26726448.0,346448044.0,0.012128369816976077
2025-03-06,6.41,6.45,6.36,6.43,3430158.0,22022316.0,346448044.0,0.009900930484110339
2025-03-07,6.43,6.46,6.34,6.37,3399660.0,21741314.0,346448044.0,0.009812899968342727
2025-03-10,6.37,6.44,6.32,6.39,3005760.0,19174614.0,346448044.0,0.008675932948837776
2025-03-11,6.34,6.37,6.27,6.35,3200900.0,20200684.0,346448044.0,0.009239192009985775
2025-03-12,6.35,6.38,6.24,6.26,4742594.0,29780688.0,346448044.0,0.013689192599395944
2025-03-13,6.29,6.31,6.15,6.2,6044200.0,37563424.0,346448044.0,0.017446194616125472
2025-03-14,6.21,6.37,6.17,6.35,6605801.0,41408419.0,346448044.0,0.019067219787795943
2025-03-17,6.37,6.53,6.32,6.37,5334777.0,34143171.0,346448044.0,0.015398490747432247
2025-03-18,6.44,6.45,6.33,6.44,4090712.0,26193725.0,346448044.0,0.011807577126918344
2025-03-19,6.41,6.45,6.31,6.32,3409862.0,21704065.0,346448044.0,0.00984234738528355
2025-03-20,6.34,6.39,6.28,6.3,3316201.0,21001249.0,346448044.0,0.009572000931833807
2025-03-21,6.28,6.33,6.14,6.26,5222688.0,32611931.0,346448044.0,0.015074953057030393
2025-03-24,6.26,6.3,5.95,6.0,7175001.0,43798373.0,346448044.0,0.02071017898429815
2025-03-25,6.0,6.08,5.83,6.06,5464500.0,32450649.0,346448044.0,0.015772927844845908
2025-03-26,6.09,6.48,5.99,6.36,11613700.0,73152462.0,346448044.0,0.033522198208744976
2025-03-27,6.3,6.39,6.21,6.35,4742700.0,29881719.0,346448044.0,0.01368949856157941
2025-03-28,6.32,6.32,6.16,6.2,3394000.0,21155514.0,346448044.0,0.009796562742319884
2025-03-31,6.2,6.2,5.97,6.09,3264500.0,19811278.0,346448044.0,0.009422769320065782
2025-04-01,6.08,6.24,6.08,6.13,3537100.0,21768439.0,346448044.0,0.010209611689999901
2025-04-02,6.13,6.21,6.08,6.14,2477300.0,15210813.0,346448044.0,0.00715056714247173
2025-04-03,6.12,6.22,6.1,6.2,3108999.0,19206392.0,346448044.0,0.008973925683355857
2025-04-07,6.08,6.08,5.58,5.58,6963800.0,39393128.0,346448044.0,0.020100560879483562
2025-04-08,5.44,5.58,5.18,5.37,6571465.0,35143987.0,346448044.0,0.018968111131838286
2025-04-09,5.35,5.54,4.87,5.5,6150000.0,32136135.0,346448044.0,0.01775157951245353
2025-04-10,5.6,5.91,5.6,5.82,6838364.0,39698167.0,346448044.0,0.019738497931886145
2025-04-11,5.8,6.05,5.78,5.92,5044700.0,30037149.0,346448044.0,0.014561202140890135
2025-04-14,5.98,6.51,5.81,6.23,20584246.0,131135408.0,346448044.0,0.05941510236957782
2025-04-15,6.21,6.24,5.96,6.03,13805167.0,83700231.0,346448044.0,0.03984772677775603
2025-04-16,6.02,6.08,5.81,5.98,7169897.0,42663831.0,346448044.0,0.020695446616520657
2025-04-17,5.95,6.14,5.91,6.08,7791900.0,47196442.0,346448044.0,0.022490818276924663
2025-04-18,6.1,6.22,5.96,6.16,7562500.0,46198461.0,346448044.0,0.02182866992893168
2025-04-21,6.16,6.46,6.1,6.46,12310400.0,77976412.0,346448044.0,0.03553317795611512
2025-04-22,6.46,6.73,6.44,6.69,14224367.0,93898495.0,346448044.0,0.04105772062029595
2025-04-23,6.77,6.79,6.59,6.62,10510337.0,70216283.0,346448044.0,0.030337411863119078
2025-04-24,6.63,6.68,6.32,6.51,8956386.0,58018444.0,346448044.0,0.025852032231418805
2025-04-25,6.7,7.16,6.45,7.16,41731073.0,287576574.0,346448044.0,0.12045405861780532
2025-04-28,7.06,7.06,6.56,6.69,29461311.0,199384159.0,346448044.0,0.08503817963538568
2025-04-29,6.75,6.92,6.66,6.82,13230826.0,90030970.0,346448044.0,0.03818992841535569
2025-04-30,6.8,6.89,6.68,6.72,9936043.0,67176319.0,346448044.0,0.028679749163196315
2025-05-06,6.75,6.94,6.69,6.82,10604166.0,72322522.0,346448044.0,0.030608243237765256
2025-05-07,6.94,7.04,6.73,6.78,8975976.0,61497633.0,346448044.0,0.02590857750664628
2025-05-08,6.71,7.02,6.71,6.96,10131990.0,69865338.0,346448044.0,0.02924533757794863
2025-05-09,6.97,7.15,6.88,7.1,9899300.0,69539895.0,346448044.0,0.028573692856525407
2025-05-12,7.16,7.24,6.98,7.11,14587550.0,103498359.0,346448044.0,0.042106024994616506
2025-05-13,7.15,7.42,7.12,7.29,11409157.0,83329657.0,346448044.0,0.03293179799277493
2025-05-14,7.29,7.33,7.19,7.28,7079100.0,51321033.0,346448044.0,0.020433366914895904
2025-05-15,7.23,7.31,7.14,7.3,6011300.0,43547753.0,346448044.0,0.017351230881823075
2025-05-16,7.34,7.37,7.2,7.32,5183000.0,37692774.0,346448044.0,0.01496039619724336
2025-05-19,7.32,7.57,7.32,7.44,7773933.0,57987789.0,346448044.0,0.022438957686827063
2025-05-20,7.45,7.55,7.38,7.53,5202700.0,38960290.0,346448044.0,0.015017258980397073
2025-05-21,7.53,7.76,7.5,7.66,6797100.0,51741969.0,346448044.0,0.019619392049446814
2025-05-22,7.63,8.0,7.63,8.0,12556184.0,98368169.0,346448044.0,0.03624261766650355
2025-05-23,7.9,8.05,7.71,7.87,10913000.0,86303917.0,346448044.0,0.0314996727186025
2025-05-26,7.8,8.03,7.59,7.61,11520706.0,89289979.0,346448044.0,0.03325377700790252
2025-05-27,7.56,7.78,7.56,7.74,6009200.0,46129061.0,346448044.0,0.017345169366867603
2025-05-28,7.8,7.84,7.61,7.71,4926100.0,37863278.0,346448044.0,0.014218870867690626
2025-05-29,7.67,7.85,7.63,7.83,5322507.0,41364395.0,346448044.0,0.015363074181478132
2025-05-30,7.8,8.03,7.8,7.86,6273600.0,49764075.0,346448044.0,0.01810834296411845
2025-06-03,7.83,8.1,7.77,8.07,9391150.0,74836269.0,346448044.0,0.02710695055908585
2025-06-04,8.07,8.45,8.06,8.35,10110701.0,83913428.0,346448044.0,0.029183888248478607
2025-06-05,8.36,8.41,8.16,8.24,7574900.0,62859093.0,346448044.0,0.021864461731525897
2025-06-06,8.3,8.3,8.15,8.28,5482700.0,45046490.0,346448044.0,0.01582546097446
2025-06-09,8.24,8.38,8.16,8.38,7168900.0,59330371.0,346448044.0,0.020692568840134654
2025-06-10,8.29,8.3,7.92,8.09,10969900.0,88936039.0,346448044.0,0.031663910909538864
